idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
28603,223,0,11.8,6.5,1.6,2,0.4,10.5,10.5,89,0
28449,230,0,23.7,17.8,2.8,1.9,0.4,22.9,22.900000000000002,97,-3.552713678800501e-15
28450,230,18,15.1,10.7,4.2,1.5,0.3,16.7,16.7,100,0
28455,234,0,23.7,NA,NA,1.8,19.9,NA,21.7,NA,NA
28456,234,10,39.4,NA,NA,2.5,32.7,NA,35.2,NA,NA
28607,235,0,20.6,13.4,2.2,2.1,0.1,17.8,17.8,86,0
28608,235,15,23.2,15.3,2.9,1.6,0.4,20.2,20.2,87,0
28614,243,0,18.4,8.6,6.7,1.4,1.6,14.4,18.3,79,-3.9000000000000004
28615,243,24,14.7,7.2,7.6,0.8,2.6,14,18.2,95,-4.199999999999999
15707,251,0,21.9,13.4,2.5,2.9,0.3,19.1,19.1,87,0
15708,251,15,19.2,11.5,2.3,3,0.2,17,17,89,0
28621,254,0,14,8.2,1.1,1.6,0.3,11.2,11.2,80,0
28622,254,21,12.6,7.3,2.2,1.7,0.3,11.5,11.5,91,0
28459,261,0,20.8,9,5.6,1.1,0.8,16.5,16.5,80,0
28460,261,12,7.8,4.1,2.1,0.5,0.7,7.4,7.3999999999999995,95,8.881784197001252e-16
28626,262,0,18.3,12.1,2.2,2.3,0.5,17.3,17.1,95,0.1999999999999993
28627,262,23,18.5,12.1,2.4,1.8,0.6,16.9,16.9,91,0
28776,264,0,14.1,7.3,1.6,1.8,1.1,11.8,11.8,NA,0
28777,264,17,13.5,6.9,2.1,1.6,1.1,11.7,11.700000000000001,NA,-1.7763568394002505e-15
28778,264,24,10.3,4.7,1.6,1.4,1.7,9.4,9.4,NA,0
28641,265,0,17.1,8.8,2.1,2,0.4,13.3,13.3,78,0
28642,265,15,17,8.7,2.7,0.9,0.4,12.7,12.7,75,0
28648,269,0,19.8,9.3,3.2,2.3,0.6,15.4,15.4,78,0
28649,269,14,18.6,9.4,3.2,1.4,2.5,16.5,16.5,89,0
28654,272,0,10.4,6,2,1.2,0.4,9.6,9.6,80,0
28655,272,22,5.7,2.6,1.6,0.6,0.7,5.5,5.5,89,0
5769,285,0,NA,5.3,4.3,1,4.6,15.2,15.2,89,0
5770,285,20,NA,NA,NA,5.3,18.6,NA,23.900000000000002,100,NA
28658,298,0,9.7,3.2,2.7,2.1,4.2,12.2,12.200000000000001,100,-1.7763568394002505e-15
28659,298,15,13.1,3.5,3.9,2.5,6.7,16.6,16.6,100,0
27413,300,0,22.3,13.5,1.7,2.2,0.2,17.6,17.6,79,0
27414,300,20,19.7,11.5,2.9,1.5,0.2,16.1,16.1,82,0
28480,304,0,24.3,11.9,7.5,1.6,1.3,22.3,22.3,92,0
28481,304,11,42,22.2,12.1,1.8,7.6,43.7,43.699999999999996,100,7.105427357601002e-15
15086,314,0,17.5,7.8,4.2,1.6,1.6,15.2,15.2,87,0
15087,314,20,37.4,NA,NA,4.2,7.8,NA,12,NA,NA
19,316,0,17.7,10.7,2.3,NA,0.1,14.3,13.1,81,1.200000000000001
